district,address,area,orientation,room,living,bathroom,floor,rent,
珠海,香洲区,98,东南,3,2,2,31,7000,
珠海,香洲区,75,南,3,2,2,28,7000,
珠海,香洲区,97,南,3,1,1,32,7000,
珠海,香洲区,174.18,南北,3,2,2,29,6900,
珠海,香洲区,174,东南,4,2,2,34,6800,
珠海,香洲区,182.89,南北,4,2,2,50,6800,
珠海,香洲区,159,南北,3,2,2,39,6800,
珠海,香洲区,128,南,3,2,2,26,6800,
珠海,香洲区,97,南北,3,2,1,25,6800,
珠海,香洲区,126.8,南,4,1,0,4,6800,
珠海,香洲区,105.52,南,3,2,2,11,6800,
珠海,香洲区,147,南,4,2,2,17,6800,
珠海,香洲区,156,南,4,2,2,31,6600,
珠海,香洲区,140,南北,4,2,2,28,6500,
珠海,香洲区,263.4,西北,4,2,3,31,6500,
珠海,香洲区,99,东,1,1,2,58,6500,
珠海,香洲区,159,南,4,2,2,32,6500,
珠海,香洲区,119,南,3,2,2,32,6500,
珠海,香洲区,193,东,5,2,3,27,6500,
珠海,香洲区,117.12,东南,3,2,3,30,6500,
珠海,香洲区,90,南,3,2,2,45,6500,
珠海,香洲区,164,南北,4,2,3,31,6500,
珠海,香洲区,96,南,3,2,1,30,6500,
珠海,香洲区,135,东南,4,2,2,27,6500,
珠海,香洲区,105,东南,3,2,2,31,6500,
珠海,香洲区,128,东南,3,2,2,30,6500,
珠海,香洲区,99,南,2,1,1,58,6500,
珠海,香洲区,105,南,3,2,2,31,6500,
珠海,香洲区,188,南,4,2,3,7,6500,
珠海,香洲区,99,南北,3,2,2,21,6500,
珠海,香洲区,113,南北,3,2,2,28,6500,
珠海,香洲区,236,东南,5,2,3,18,6500,
珠海,香洲区,89,南,3,2,2,37,6300,
珠海,香洲区,90,西南,3,2,1,45,6300,
珠海,香洲区,174,南北,4,2,2,9,6200,
珠海,香洲区,155,南北,4,2,2,17,6000,
珠海,香洲区,206,东,4,2,3,31,6000,
珠海,香洲区,120,东南,1,1,1,6,6000,
珠海,香洲区,180,东南,4,2,3,31,6000,
珠海,香洲区,85,南,4,2,1,28,6000,
珠海,香洲区,161.69,南,4,2,2,18,6000,
珠海,香洲区,160,南北,4,2,2,6,6000,
珠海,香洲区,97,南,3,2,1,25,6000,
珠海,香洲区,99.14,南,3,2,2,25,6000,
珠海,香洲区,145,东南,4,2,2,17,6000,
珠海,香洲区,218,东南,4,2,2,17,6000,
珠海,香洲区,88.12,北,3,2,2,43,6000,
珠海,香洲区,94,东北,3,2,2,32,6000,
珠海,金湾区,161,东南,4,2,2,29,6000,
珠海,香洲区,88,东北,2,2,1,51,6000,
珠海,香洲区,120,南北,3,2,2,18,6000,
珠海,香洲区,125,东南,3,2,2,27,6000,
珠海,香洲区,91,东,3,2,1,33,6000,
珠海,香洲区,168.7,东南,5,2,2,11,6000,
珠海,香洲区,142.5,南,4,2,2,28,6000,
珠海,香洲区,122,南,3,2,2,32,6000,
珠海,香洲区,90,南,3,2,1,35,6000,
珠海,香洲区,142,东南,4,2,3,32,6000,
珠海,香洲区,135,南,3,2,2,34,6000,
珠海,香洲区,90.52,南,3,2,1,35,6000,
珠海,香洲区,78,南,2,2,1,31,6000,
珠海,香洲区,99,东,2,2,1,58,6000,
珠海,香洲区,140,南,4,2,2,32,6000,
珠海,香洲区,180,东南,4,2,3,25,6000,
珠海,香洲区,178,东,4,2,2,19,6000,
珠海,香洲区,125,南北,4,2,2,32,6000,
珠海,香洲区,140.34,南北,4,2,2,31,6000,
珠海,香洲区,108,东南,3,2,2,50,6000,
珠海,香洲区,122,南,3,2,2,13,6000,
珠海,香洲区,120,南,3,2,2,28,6000,
珠海,香洲区,179.75,南北,4,2,3,11,6000,
珠海,香洲区,89,北,3,2,2,45,5900,
珠海,香洲区,136,东南,3,2,2,31,5900,
珠海,香洲区,80.16,东南,2,2,1,29,5800,
珠海,香洲区,96,东南,3,2,1,29,5800,
珠海,香洲区,123,东南,3,2,2,13,5800,
珠海,香洲区,206,南北,4,2,3,5,5800,
珠海,香洲区,95,南,3,2,1,29,5800,
珠海,香洲区,88,南,2,1,1,51,5800,
珠海,香洲区,90.18,南,3,2,2,45,5800,
珠海,香洲区,148,东南,4,2,2,43,5800,
珠海,香洲区,96,南,3,2,1,29,5800,
珠海,香洲区,121.63,东南,3,2,2,32,5700,
珠海,香洲区,96,东,3,2,1,30,5600,
珠海,香洲区,86,南,3,2,1,30,5500,
珠海,香洲区,125,西南,1,1,1,27,5500,
珠海,香洲区,84,东南,3,2,1,32,5500,
珠海,香洲区,85,南,3,2,2,29,5500,
珠海,香洲区,120,北,3,2,2,41,5500,
珠海,香洲区,81,南,2,2,1,27,5500,
珠海,香洲区,81,南,2,2,1,24,5500,
珠海,香洲区,107,南,3,2,2,32,5500,
珠海,香洲区,91,南,3,2,1,33,5500,
珠海,香洲区,175,南,4,2,2,6,5500,
珠海,香洲区,120,东南,3,2,2,44,5500,
珠海,香洲区,121,北,3,2,2,41,5500,
珠海,香洲区,159,南北,4,2,2,35,5500,
珠海,香洲区,77,南,3,2,2,11,5500,
珠海,香洲区,142,东南,4,2,2,31,5500,
珠海,香洲区,88,南,3,2,1,32,5500,
珠海,香洲区,134,南,3,2,2,31,5500,
珠海,香洲区,157,南,4,1,1,12,5500,
珠海,香洲区,145,东南,3,2,2,31,5500,
珠海,香洲区,96,南,3,2,1,22,5500,
珠海,香洲区,164,北,4,2,2,31,5500,
珠海,香洲区,106,西南,3,2,3,17,5500,
珠海,香洲区,84,南,4,2,3,23,5500,
珠海,香洲区,149,南,4,1,2,26,5500,
珠海,香洲区,143,南,3,2,2,30,5500,
珠海,香洲区,136.23,南,3,2,2,28,5500,
珠海,香洲区,89.75,南,2,2,1,29,5400,
珠海,香洲区,150,南,4,2,2,10,5300,
珠海,香洲区,91,南,3,2,1,33,5300,
珠海,香洲区,89,北,3,2,1,32,5300,
珠海,香洲区,141,东北,3,2,2,31,5300,
珠海,香洲区,93,南,2,2,1,32,5300,
珠海,香洲区,128,南,2,2,1,32,5300,
珠海,香洲区,131,南,4,2,2,31,5300,
珠海,香洲区,153,南,3,2,2,32,5300,
珠海,香洲区,162.3,南北,4,2,2,26,5200,
珠海,香洲区,76,东南,2,2,1,30,5200,
珠海,香洲区,143,南,3,2,2,25,5200,
珠海,香洲区,106,南,3,2,2,17,5200,
珠海,香洲区,85,南,3,2,1,32,5200,
珠海,香洲区,131,南,3,2,2,26,5200,
珠海,香洲区,77,东南,2,2,1,32,5200,
珠海,香洲区,85,南,3,2,1,30,5200,
珠海,香洲区,130.89,西南,3,2,2,31,5200,
珠海,香洲区,106.33,南,3,2,2,6,5200,
珠海,香洲区,276,东南,6,2,2,11,5100,
珠海,香洲区,136,东南,3,2,2,18,5100,
珠海,香洲区,240.09,南北,4,2,3,4,5000,
珠海,香洲区,84,南,3,2,1,32,5000,
珠海,香洲区,143,南北,4,2,2,28,5000,
珠海,香洲区,138,东南,3,2,2,17,5000,
珠海,香洲区,120,南,3,2,2,11,5000,
珠海,香洲区,83,南,3,2,1,33,5000,
珠海,香洲区,85.3,东南,3,2,1,31,5000,
珠海,香洲区,90,南,3,2,2,28,5000,
珠海,香洲区,90.78,东南,3,2,1,33,5000,
珠海,香洲区,142,南,4,2,2,13,5000,
珠海,香洲区,55,南,1,0,0,4,5000,
珠海,香洲区,130,南北,4,2,2,32,5000,
珠海,香洲区,144,东南,4,2,2,39,5000,
珠海,香洲区,199.73,东,3,2,2,31,5000,
珠海,香洲区,79.74,南,2,2,1,35,5000,
珠海,香洲区,122,南,3,2,2,30,5000,
珠海,香洲区,106,南,3,2,1,27,5000,
珠海,香洲区,240,南,4,2,2,17,5000,
珠海,香洲区,89,南,2,1,1,31,5000,
珠海,香洲区,60,南,1,1,1,39,5000,
珠海,香洲区,75,西南西,1,1,1,27,5000,
珠海,香洲区,146,南,5,2,3,18,5000,
珠海,香洲区,74,西,2,1,1,27,5000,
珠海,香洲区,96.82,南,3,2,2,33,5000,
珠海,香洲区,144,东南,4,2,2,37,5000,
珠海,香洲区,46.46,东南,3,2,2,19,5000,
珠海,香洲区,77.13,西,3,2,2,23,5000,
珠海,香洲区,139.6,东南,4,2,3,17,5000,
珠海,香洲区,117,南,3,2,2,17,5000,
珠海,香洲区,126,南,3,2,2,32,5000,
珠海,香洲区,165,南,4,2,2,29,5000,
珠海,香洲区,163,南,3,2,2,27,5000,
珠海,香洲区,88,东南,2,2,1,37,5000,
珠海,香洲区,113,南,2,2,2,31,5000,
珠海,香洲区,89,东南,3,2,1,32,5000,
珠海,香洲区,158.13,南,4,2,2,22,5000,
珠海,香洲区,85,东南,2,2,1,22,5000,
珠海,香洲区,71,北,1,1,1,51,5000,
珠海,香洲区,84,东南,3,2,0,32,5000,
珠海,香洲区,70,南,2,1,1,29,5000,
珠海,香洲区,88,南,2,2,1,51,5000,
珠海,香洲区,116,南,3,2,2,32,5000,
珠海,香洲区,56,南北,1,1,0,30,5000,
珠海,香洲区,89,东南,2,2,1,37,5000,
珠海,香洲区,65,西南,1,1,1,31,5000,
珠海,香洲区,110,南北,3,2,2,33,5000,
珠海,香洲区,99,南,3,2,2,32,5000,
珠海,香洲区,126,南,3,2,2,25,5000,
珠海,香洲区,86,东南,2,2,1,29,5000,
珠海,香洲区,71,东南,2,2,1,31,5000,
珠海,香洲区,118,东,3,2,2,11,5000,
珠海,香洲区,89,东南,3,2,2,27,5000,
珠海,香洲区,128,南,3,2,2,35,5000,
珠海,香洲区,80,南,1,1,1,26,5000,
珠海,香洲区,82,南,1,1,1,26,5000,
珠海,香洲区,88,南,2,2,1,37,5000,
珠海,香洲区,96,东南,3,2,2,31,5000,
珠海,香洲区,88,南,2,1,1,37,5000,
珠海,香洲区,107,南,3,2,2,32,5000,
珠海,香洲区,140.2,南,3,2,2,29,5000,
珠海,香洲区,69.98,东南,2,2,1,29,5000,
珠海,香洲区,87,南,2,2,1,25,5000,
珠海,香洲区,90,东南,1,0,0,32,4950,
珠海,香洲区,90,南,3,2,2,45,4900,
珠海,香洲区,118,东南,3,2,2,16,4900,
珠海,香洲区,91,南,2,1,1,29,4800,
珠海,香洲区,100.19,东北,3,2,2,39,4800,
珠海,香洲区,80,东北,2,1,1,28,4800,
珠海,香洲区,168,南北,5,3,4,7,4800,
珠海,香洲区,83,东南,3,1,1,33,4800,
珠海,香洲区,100,南,3,2,2,31,4800,
珠海,香洲区,120,东南,4,2,2,7,4800,
珠海,香洲区,131,南,3,2,2,29,4800,
珠海,香洲区,145,北,3,2,2,31,4800,
珠海,香洲区,76,南,2,2,1,30,4800,
珠海,香洲区,78,南,3,2,2,31,4800,
珠海,香洲区,91,东南,3,2,1,32,4800,
珠海,香洲区,84,南北,3,2,1,32,4800,
珠海,香洲区,126.82,南北,4,2,2,6,4800,
珠海,香洲区,130,南,3,2,2,29,4800,
珠海,香洲区,83,南,3,2,1,32,4800,
珠海,香洲区,160,东南,3,2,2,20,4800,
珠海,香洲区,105,南,2,2,1,27,4800,
珠海,香洲区,138.8,东北,3,2,2,25,4800,
珠海,香洲区,122,东南,3,2,2,27,4800,
珠海,香洲区,152,南北,3,2,2,11,4700,
珠海,香洲区,148.99,北,3,2,2,14,4700,
珠海,香洲区,97,南,3,2,2,33,4700,
珠海,香洲区,145,东南,4,2,2,18,4700,
珠海,香洲区,145,南,3,2,2,27,4600,
珠海,香洲区,139.9,南,3,2,3,17,4600,
珠海,香洲区,128,南北,4,2,2,26,4600,
珠海,香洲区,170.78,东南,4,2,2,31,4600,
珠海,香洲区,107,东南,3,2,2,32,4600,
珠海,香洲区,90.04,南,3,2,1,30,4600,
珠海,香洲区,124,东南,3,1,2,30,4600,
珠海,香洲区,87,南,2,2,1,29,4600,
珠海,香洲区,158,南,3,2,2,9,4600,
珠海,香洲区,123,南,3,2,2,37,4600,
珠海,香洲区,61,西北,2,2,1,31,4500,
珠海,香洲区,125,东北,3,2,2,9,4500,
珠海,香洲区,116,东南,3,2,2,32,4500,
珠海,香洲区,98,南,3,2,2,31,4500,
珠海,香洲区,84,南,1,1,1,26,4500,
珠海,香洲区,91,南北,3,2,1,11,4500,
珠海,香洲区,113,南,3,2,2,36,4500,
珠海,香洲区,158,南,4,2,2,39,4500,
珠海,香洲区,69,南,2,2,1,29,4500,
珠海,香洲区,125,西南,4,2,2,17,4500,
珠海,香洲区,83,东南,3,2,1,32,4500,
珠海,香洲区,160,东南,4,2,2,6,4500,
珠海,香洲区,82,南北,2,2,1,32,4500,
珠海,香洲区,122,东南,3,2,2,31,4500,
珠海,香洲区,91.2,东南,3,2,2,31,4500,
珠海,香洲区,91.48,东,3,2,1,18,4500,
珠海,金湾区,167.18,南,5,2,3,32,4500,
珠海,香洲区,118,东,3,2,2,11,4500,
珠海,香洲区,90,东西北,2,2,1,37,4500,
珠海,香洲区,89,南北,3,2,1,33,4500,
珠海,香洲区,102,东南,3,2,1,32,4500,
珠海,香洲区,100,南,2,2,1,32,4500,
珠海,香洲区,92,东南,2,2,1,29,4500,
珠海,香洲区,147,东北,4,2,2,24,4500,
珠海,香洲区,94,南,2,2,2,33,4500,
珠海,香洲区,74,东南,1,1,1,27,4500,
珠海,香洲区,81.15,东北,2,2,1,29,4500,
珠海,香洲区,50.74,南,1,1,1,12,4500,
珠海,金湾区,128,南,4,2,2,6,4500,
珠海,香洲区,89,北,3,2,1,32,4500,
珠海,香洲区,60,东,1,0,1,41,4500,
珠海,香洲区,90,西,2,2,1,27,4500,
珠海,香洲区,98.25,东南,3,2,2,39,4500,
珠海,香洲区,89,东南,3,2,2,32,4500,
珠海,香洲区,82.66,北,3,2,1,32,4500,
珠海,香洲区,145.87,南,3,2,2,27,4500,
珠海,香洲区,92.6,北,3,2,1,31,4500,
珠海,香洲区,120,东南,3,2,2,29,4500,
珠海,香洲区,84,东南,3,2,1,33,4500,
珠海,香洲区,134,南北,3,2,2,9,4500,
珠海,香洲区,91.6,南,3,2,2,39,4500,
珠海,金湾区,167.01,南,4,2,3,32,4500,
珠海,香洲区,95,南,2,2,1,32,4500,
珠海,香洲区,99.95,南,3,2,2,7,4500,
珠海,香洲区,46,南,1,1,1,51,4500,
珠海,香洲区,83,南,3,2,1,33,4500,
珠海,香洲区,70.68,东南,4,2,2,11,4500,
珠海,香洲区,85,南,2,2,1,22,4500,
珠海,香洲区,128,南北,3,2,2,11,4500,
珠海,香洲区,95.88,南,3,2,2,32,4500,
珠海,香洲区,89,西南,3,2,2,32,4500,
珠海,香洲区,98,西北,3,2,1,39,4500,
珠海,香洲区,74.27,南,2,1,1,30,4500,
珠海,香洲区,74,东南,2,1,1,27,4500,
珠海,香洲区,112,南,2,2,2,31,4500,
珠海,香洲区,80,东南,1,2,1,29,4500,
珠海,香洲区,62.76,西南,2,2,1,27,4500,
珠海,香洲区,99.74,东南,3,2,2,32,4500,
珠海,香洲区,144.25,东南,4,2,2,34,4500,
珠海,香洲区,84,南,3,2,1,32,4500,
珠海,香洲区,128,南,3,2,2,28,4500,
珠海,香洲区,159.8,南北,4,2,2,35,4500,
珠海,香洲区,83,南,3,2,1,32,4500,
珠海,香洲区,94,北,2,2,1,32,4500,
珠海,香洲区,79,南,2,2,1,34,4500,
珠海,香洲区,85,东南,1,1,1,58,4500,
珠海,香洲区,134.73,南北,4,2,2,32,4500,
珠海,香洲区,45,南,1,0,1,28,4500,
珠海,香洲区,118,南,3,2,2,29,4500,
珠海,香洲区,122,东南,3,2,2,33,4500,
珠海,香洲区,79.43,东南,2,2,1,31,4500,
珠海,香洲区,56,南北,1,1,0,30,4500,
珠海,香洲区,96,南,3,2,1,32,4500,
珠海,香洲区,125,东南,4,2,2,8,4500,
珠海,香洲区,103,南,3,2,2,29,4500,
珠海,香洲区,92,东,2,1,1,39,4500,
珠海,香洲区,145.39,东南,3,2,2,9,4500,
珠海,香洲区,98.55,南,3,2,1,32,4400,
珠海,香洲区,83,南,3,2,1,32,4400,
珠海,香洲区,84,南,3,2,1,33,4300,
珠海,香洲区,95,东南,2,2,1,29,4300,
珠海,香洲区,79,西南,1,1,1,58,4300,
珠海,香洲区,163,东南,4,2,2,30,4300,
珠海,香洲区,117,东,3,2,2,17,4300,
珠海,香洲区,91,西南,3,2,1,32,4300,
珠海,香洲区,144,东南,4,2,2,37,4300,
珠海,香洲区,93,南,3,2,2,18,4300,
珠海,香洲区,97.5,东南,3,2,2,32,4300,
珠海,香洲区,123,南,3,2,2,30,4300,
珠海,香洲区,84,东南,3,2,1,33,4300,
珠海,香洲区,85,东南,3,2,1,32,4300,
珠海,香洲区,90,东南,3,2,2,30,4300,
珠海,香洲区,132,东南,3,2,2,17,4300,
珠海,香洲区,83,南,2,2,1,29,4300,
珠海,香洲区,105,东,3,2,2,29,4300,
珠海,香洲区,98.19,西南,3,2,2,39,4300,
珠海,香洲区,84,南,3,2,1,32,4300,
珠海,金湾区,124.09,南,4,2,2,33,4300,
珠海,香洲区,91,南,3,2,1,33,4300,
珠海,香洲区,69.58,西,1,0,0,35,4300,
珠海,香洲区,63.31,东北,1,1,1,39,4300,
珠海,香洲区,100.43,东北,3,2,2,32,4300,
珠海,香洲区,89.33,南,3,2,1,31,4300,
珠海,香洲区,93,南,3,2,1,29,4300,
珠海,香洲区,122,南,3,2,2,31,4300,
珠海,香洲区,89,东,2,2,1,30,4300,
珠海,香洲区,130,南北,4,2,2,16,4200,
珠海,香洲区,69,南,2,1,1,33,4200,
珠海,香洲区,133,东北,3,2,2,28,4200,
珠海,香洲区,69,南北,2,2,1,32,4200,
珠海,香洲区,90,东南,3,2,2,11,4200,
珠海,金湾区,134.57,南,4,2,2,33,4200,
珠海,香洲区,49.15,北,1,1,1,39,4200,
珠海,香洲区,90,南,3,2,1,33,4200,
珠海,香洲区,99,东南,3,2,2,32,4200,
珠海,香洲区,122,东南,3,2,2,31,4200,
珠海,香洲区,91,东南,3,2,1,31,4200,
珠海,香洲区,97,东南,3,2,2,26,4200,
珠海,香洲区,89,西,3,2,1,32,4200,
珠海,香洲区,106,东南,3,2,2,25,4200,
珠海,金湾区,169,南,4,2,2,17,4200,
珠海,香洲区,130,南,4,2,2,18,4200,
珠海,香洲区,97,南,3,2,1,39,4200,
珠海,香洲区,88.7,东南,3,2,2,17,4200,
珠海,香洲区,133,北,4,2,2,28,4200,
珠海,香洲区,52,东南,3,2,2,19,4200,
珠海,香洲区,88.64,南,2,2,1,32,4100,
珠海,香洲区,89,西南,3,2,2,35,4000,
珠海,香洲区,86.5,南,2,1,1,39,4000,
珠海,香洲区,110,北,3,2,2,11,4000,
珠海,香洲区,86,西北,2,2,1,18,4000,
珠海,香洲区,143.86,南北,4,2,2,11,4000,
珠海,香洲区,79.45,南,2,1,1,17,4000,
珠海,香洲区,95,南,2,2,2,29,4000,
珠海,香洲区,258,南北,4,2,3,5,4000,
珠海,香洲区,79,东南,2,2,1,24,4000,
珠海,香洲区,65,东南,2,1,1,13,4000,
珠海,香洲区,47,东北,1,1,1,51,4000,
珠海,香洲区,88.53,南,3,2,1,32,4000,
珠海,香洲区,92,南,3,2,2,11,4000,
珠海,香洲区,95,南,2,2,1,29,4000,
珠海,香洲区,99,南,3,2,1,44,4000,
珠海,香洲区,75,东南,2,2,1,39,4000,
珠海,香洲区,117,南北,3,2,1,17,4000,
珠海,香洲区,130,南,3,2,2,6,4000,
珠海,香洲区,89,北,3,2,1,32,4000,
珠海,香洲区,142,南北,3,2,2,11,4000,
珠海,香洲区,90,南,3,1,2,30,4000,
珠海,香洲区,106,南,1,0,0,17,4000,
珠海,香洲区,110,南北,3,2,2,17,4000,
珠海,香洲区,63,南,2,2,1,13,4000,
珠海,香洲区,74,南,1,1,1,27,4000,
珠海,香洲区,77,南,2,2,1,33,4000,
珠海,香洲区,95.58,东,3,2,2,31,4000,
珠海,斗门区,165,南,5,2,2,18,4000,
珠海,香洲区,109,南,3,2,1,42,4000,
珠海,香洲区,93,南,3,2,1,44,4000,
珠海,香洲区,60,南,2,2,1,28,4000,
珠海,香洲区,65,东南,1,1,1,27,4000,
珠海,香洲区,106,南北,3,2,2,8,4000,
珠海,香洲区,60,东南,2,1,1,28,4000,
珠海,香洲区,89,南,2,1,1,30,4000,
珠海,香洲区,122.26,南,3,2,2,18,4000,
珠海,香洲区,69,南,2,2,1,32,4000,
珠海,金湾区,92,南,3,2,2,33,4000,
珠海,香洲区,120,南,3,2,2,19,4000,
珠海,香洲区,132.24,南,3,2,2,9,4000,
珠海,香洲区,89.66,南,3,2,1,32,4000,
珠海,香洲区,76.72,北,2,2,1,28,4000,
珠海,香洲区,99,南,3,2,2,32,4000,
珠海,香洲区,139.8,南,3,2,2,11,4000,
珠海,香洲区,103,南,3,2,2,24,4000,
珠海,香洲区,82,东南,2,2,1,37,4000,
珠海,斗门区,329.43,南,5,3,2,3,4000,
珠海,香洲区,93,北,3,2,2,11,4000,
珠海,香洲区,103.72,东南,3,2,2,5,4000,
珠海,香洲区,111,南北,3,2,2,32,4000,
珠海,香洲区,125,南北,4,2,2,18,4000,
珠海,香洲区,100.6,东南,3,2,1,32,4000,
珠海,香洲区,142.12,南北,3,2,2,11,4000,
珠海,香洲区,79,南,1,1,1,58,4000,
珠海,香洲区,105,南,3,2,2,20,4000,
珠海,香洲区,77,西南,1,1,1,31,4000,
珠海,香洲区,94.79,东南,3,2,2,28,4000,
珠海,香洲区,63,南,2,1,1,33,4000,
珠海,香洲区,44,北,1,0,1,51,4000,
珠海,香洲区,93,南,3,2,1,31,4000,
珠海,香洲区,60,西南,1,1,1,26,4000,
珠海,香洲区,57,东南,1,1,1,31,4000,
珠海,香洲区,81.41,东南,2,1,1,27,4000,
珠海,香洲区,65.77,东,2,1,1,27,4000,
